番号,名前,使用場面（0：フィールドのみ、1：戦闘中のみ、2：どっちも可）,売値,効果1,効果2,効果3
1,薬草,2,5,味方単体のHPを20回復,テスト,
2,マジカルパウダー,2,10,味方単体のMPを20回復,,
3,毒消し,1,5,味方単体の毒状態を回復,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
