番号,名前,HP,MP,ATC,DEF,MATC,MDEF,SPD,HIT,ESCAPE,LUCK,ELEMENT,FIRE,WOOD,WATER,LIGHT,DARK,MONEY,SKILL1,SKILL2
1,木の弓,5,5,100,0,95,0,0,100,0,0,0,0,0,0,0,0,100,19,20
2,石の弓,5,5,100,0,95,0,0,100,0,0,0,0,0,0,0,0,200,19,21
3,キノコボウ,10,10,130,0,124,0,0,102,0,0,0,0,0,0,0,0,300,35,36
4,スネークアロー,10,10,130,0,124,0,0,102,0,0,0,0,0,0,0,0,400,35,37
5,毒霧の弓,15,15,160,0,153,0,0,104,0,0,0,0,0,0,0,0,500,35,48
6,爆連弓,15,15,160,0,153,0,0,104,0,0,0,0,0,0,0,0,600,31,49
7,桜の弓,20,20,190,0,182,0,0,106,0,0,0,0,0,0,0,0,700,48,61
8,小僧の弓,20,20,190,0,182,0,0,106,0,0,0,0,0,0,0,0,800,48,62
9,光術師の弓,25,25,220,0,211,0,0,108,0,0,0,0,0,0,0,0,900,26,71
10,銀の弓,25,25,220,0,211,0,0,108,0,0,0,0,0,0,0,0,1000,30,72
11,ベルリンの弓,30,30,250,0,240,0,0,110,0,0,0,0,0,0,0,0,1100,48,71
12,上質な木弓,30,30,250,0,240,0,0,110,0,0,0,0,0,0,0,0,1200,48,82
13,暗黒騎士の弓,35,35,280,0,269,0,0,112,0,0,0,0,0,0,0,0,1300,35,89
14,パンドラの弓,35,35,280,0,269,0,0,112,0,0,0,0,0,0,0,0,1400,48,90
15,火竜の弓,40,40,310,0,398,0,0,114,0,0,0,0,0,0,0,0,1500,98,94
16,パンプキンアロー,40,40,310,0,398,0,0,114,0,0,0,0,0,0,0,0,1600,73,119
17,未知なる弓,45,45,340,0,327,0,0,116,0,0,0,0,0,0,0,0,1700,77,110
18,ブラッディーアロー,45,45,340,0,327,0,0,116,0,0,0,0,0,0,0,0,1800,49,93
19,死術師の弓,50,50,370,0,356,0,0,118,0,0,0,0,0,0,0,0,1900,118,94
20,不死鳥の弓,50,50,370,0,356,0,0,118,0,0,0,0,0,0,0,0,2000,92,98
21,魔竜の弓,55,55,400,0,385,0,0,120,0,0,0,0,0,0,0,0,2100,109,101
22,崩壊の弓,55,55,400,0,385,0,0,120,0,0,0,0,0,0,0,0,2200,100,106
