レシピ番号,レシピ解放本番号,製造種類番号,名前,素材種類数,アイテム種類1,アイテム番号1,必要個数1,アイテム種類2,アイテム番号2,必要個数2,アイテム種類3,アイテム番号3,必要個数3,アイテム種類4,アイテム番号4,必要個数4,アイテム種類5,アイテム番号5,必要個数5
1,0,2,リンゴジュース,1,9,1,1,,,,,,,,,,,,
2,0,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
3,0,8,パン,2,9,6,1,9,7,1,,,,,,,,,
4,0,12,トマトジュース,1,9,11,1,,,,,,,,,,,,
5,0,13,ステーキ,1,9,10,1,,,,,,,,,,,,
6,0,14,サンドイッチ,4,9,8,1,9,9,1,9,10,1,9,11,1,,,
7,0,15,唐揚げ,2,9,10,1,9,6,1,,,,,,,,,
8,0,17,イチゴジュース,1,9,16,1,,,,,,,,,,,,
9,0,18,ケーキ,4,9,16,1,9,3,1,9,6,1,9,7,1,,,
10,0,22,カレーライス,4,9,10,1,9,19,1,9,20,1,9,21,1,,,
11,0,24,鍋,3,9,10,1,9,21,1,9,23,1,,,,,,
12,0,25,アップルパイ,4,9,1,1,9,3,1,9,6,1,9,7,1,,,
13,0,26,カレーパン,3,9,6,1,9,7,1,9,20,1,,,,,,
14,0,27,ハニートースト,3,9,6,1,9,7,1,9,5,1,,,,,,
15,0,29,ハンバーグ,1,9,28,2,,,,,,,,,,,,
16,0,30,ハンバーガー,3,9,8,1,9,29,1,9,9,1,,,,,,
