番号,名前,HP,MP,ATC,DEF,MATC,MDEF,SPD,HIT,ESCAPE,LUCK,FIRE,WOOD,WATER,LIGHT,DARK,MONEY,SKILL1,売値
1,木の胴,280,24,0,20,0,80,0,0,0,0,25,25,25,25,25,100,26,100
2,ぼろい服,280,24,0,20,0,80,0,0,0,0,25,25,25,25,25,200,27,200
3,キノコアーマー,320,28,0,26,0,104,0,0,0,0,25,25,25,25,25,300,36,300
4,かぶとの鎧,320,28,0,26,0,104,0,0,0,0,25,25,25,25,25,400,42,400
5,毒霧の鎧,360,32,0,32,0,128,0,0,0,0,25,25,25,25,25,500,41,500
6,羊のローブ,360,32,0,32,0,128,0,0,0,0,25,25,25,25,25,600,54,600
7,桜の羽衣,400,36,0,38,0,152,0,0,0,0,25,25,25,25,25,700,66,700
8,格闘獣の鎧,400,36,0,38,0,152,0,0,0,0,25,25,25,25,25,800,42,800
9,光術師の羽衣,440,40,0,44,0,176,0,0,0,0,25,25,25,25,25,900,76,900
10,かぼちゃアーマー,440,40,0,44,0,176,0,0,0,0,25,25,25,25,25,1000,75,1000
11,ベルリンの鎧,480,44,0,50,0,200,0,0,0,0,25,25,25,25,25,1100,84,1100
12,黒クモのローブ,480,44,0,50,0,200,0,0,0,0,25,25,25,25,25,1200,51,1200
13,暗黒騎士の鎧,520,48,0,56,0,224,0,0,0,0,25,25,25,25,25,1300,88,1300
14,茶熊のコート,520,48,0,56,0,224,0,0,0,0,25,25,25,25,25,1400,114,1400
15,火竜の鎧,560,52,0,62,0,248,0,0,0,0,25,25,25,25,25,1500,113,1500
16,ゴーレムアーマー,560,52,0,62,0,248,0,0,0,0,25,25,25,25,25,1600,120,1600
17,未知なる鎧,600,56,0,68,0,272,0,0,0,0,25,25,25,25,25,1700,127,1700
18,ドラゴンアーマー,600,56,0,68,0,272,0,0,0,0,25,25,25,25,25,1800,130,1800
19,死術師の鎧,640,60,0,74,0,296,0,0,0,0,25,25,25,25,25,1900,103,1900
20,骸骨騎士の鎧,640,60,0,74,0,296,0,0,0,0,25,25,25,25,25,2000,92,2000
21,魔竜の鎧,680,64,0,80,0,320,0,0,0,0,25,25,25,25,25,2100,90,2100
22,崩壊の鎧,680,64,0,80,0,320,0,0,0,0,25,25,25,25,25,2200,103,2200
