番号,名前,HP,MP,ATC,DEF,MATC,MDEF,SPD,HIT,ESCAPE,LUCK,FIRE,WOOD,WATER,LIGHT,DARK,MONEY,SKILL1,売値
1,木の盾,70,24,0,80,0,80,0,0,0,0,19,25,50,25,25,100,25,100
2,鉄の盾,70,24,0,80,0,80,0,0,0,0,25,25,25,25,25,200,25,200
3,キノコシールド,80,28,0,104,0,104,0,0,0,0,25,25,25,25,25,300,40,300
4,マッシュシールド,80,28,0,104,0,104,0,0,0,0,25,25,50,25,25,400,41,400
5,毒霧の盾,90,32,0,128,0,128,0,0,0,0,25,25,50,25,25,500,46,500
6,コケコシールド,90,32,0,128,0,128,0,0,0,0,25,25,25,25,25,600,53,600
7,桜の盾,100,36,0,152,0,152,0,0,0,0,25,25,25,25,25,700,57,700
8,アクアシールド,100,36,0,152,0,152,0,0,0,0,50,10,25,25,25,800,65,800
9,光術師の盾,110,40,0,176,0,176,0,0,0,0,25,25,25,25,10,900,73,900
10,人食い花の盾,110,40,0,176,0,176,0,0,0,0,25,25,25,25,25,1000,74,1000
11,ベルリンの盾,120,44,0,200,0,200,0,0,0,0,25,25,25,25,25,1100,85,1100
12,ワンアイデーモンの盾,120,44,0,200,0,200,0,0,0,0,25,25,25,25,25,1200,83,1200
13,暗黒騎士の盾,130,48,0,224,0,224,0,0,0,0,25,25,25,10,25,1300,74,1300
14,スケルトンシールド,130,48,0,224,0,224,0,0,0,0,25,25,25,25,25,1400,80,1400
15,火竜の盾,140,52,0,248,0,248,0,0,0,0,25,25,10,25,25,1500,85,1500
16,緑悪魔の盾,140,52,0,248,0,248,0,0,0,0,25,25,25,25,25,1600,119,1600
17,未知なる盾,150,56,0,272,0,272,0,0,0,0,25,25,25,25,25,1700,126,1700
18,ポイズンベルシールド,150,56,0,272,0,272,0,0,0,0,25,25,25,25,25,1800,91,1800
19,死術師の盾,160,60,0,296,0,296,0,0,0,0,25,25,25,25,25,1900,94,1900
20,紫ゴーレムの盾,160,60,0,296,0,296,0,0,0,0,25,25,25,25,25,2000,95,2000
21,魔竜の盾,170,64,0,320,0,320,0,0,0,0,25,25,25,10,40,2100,99,2100
22,崩壊の盾,170,64,0,320,0,320,0,0,0,0,30,30,30,30,30,2200,105,2200
