レシピ番号,レシピ解放本番号,製造種類番号,名前,素材種類数,アイテム種類1,アイテム番号1,必要個数1,アイテム種類2,アイテム番号2,必要個数2,アイテム種類3,アイテム番号3,必要個数3,アイテム種類4,アイテム番号4,必要個数4,アイテム種類5,アイテム番号5,必要個数5
1,0,1,木の盾,1,7,2,10,,,,,,,,,,,,
2,0,2,鉄の盾,1,7,6,10,,,,,,,,,,,,
3,0,3,キノコシールド,4,7,16,5,7,17,5,7,18,5,7,19,1,,,
4,0,4,マッシュシールド,2,7,24,5,7,25,5,,,,,,,,,
5,0,5,毒霧の盾,4,7,31,5,7,32,5,7,33,5,7,34,1,,,
6,0,6,コケコシールド,2,7,37,5,7,38,5,7,,,,,,,,
7,0,7,桜の盾,4,7,46,5,7,47,5,7,48,5,7,49,1,,,
8,0,8,アクアシールド,1,7,50,10,,,,,,,,,,,,
9,0,9,光術師の盾,5,7,61,5,7,62,5,7,63,5,7,64,3,7,65,1
10,0,10,人食い花の盾,2,7,72,5,7,73,5,,,,,,,,,
11,0,11,ベルリンの盾,5,7,81,5,7,82,5,7,83,5,7,84,3,7,85,1
12,0,12,ワンアイデーモンの盾,2,7,86,5,7,87,5,,,,,,,,,
13,0,13,暗黒騎士の盾,5,7,101,5,7,102,5,7,103,5,7,104,3,7,105,1
14,0,14,スケルトンシールド,2,7,108,5,7,109,5,,,,,,,,,
15,0,15,火竜の盾,5,7,121,5,7,122,5,7,123,5,7,124,3,7,125,1
16,0,16,緑悪魔の盾,2,7,137,5,7,138,5,,,,,,,,,
17,0,17,未知なる盾,5,7,141,5,7,142,5,7,143,5,7,144,3,7,145,1
18,0,18,ポイズンベルシールド,4,7,146,5,7,147,5,7,148,3,7,149,1,,,
19,0,19,死術師の盾,5,7,163,5,7,164,5,7,165,5,7,166,3,7,167,1
20,0,20,紫ゴーレムの盾,2,7,176,5,7,131,5,,,,,,,,,
21,0,21,魔竜の盾,5,7,183,5,7,184,5,7,185,5,7,186,3,7,187,1
22,0,22,崩壊の盾,5,7,188,5,7,189,5,7,190,5,7,191,3,7,192,1
