番号,名前,HP,MP,ATC,DEF,MATC,MDEF,SPD,HIT,ESCAPE,LUCK,ELEMENT,FIRE,WOOD,WATER,LIGHT,DARK,MONEY,SKILL1,SKILL2
1,木の剣,20,0,100,0,90,0,0,100,0,0,0,0,0,0,0,0,100,16,17
2,石の剣,20,0,100,0,90,0,0,100,0,0,0,0,0,0,0,0,200,16,18
3,キノコソード,40,0,130,0,110,0,0,102,0,0,0,0,0,0,0,0,300,32,33
4,ディグソード,40,0,130,0,110,0,0,102,0,0,0,0,0,0,0,0,400,32,34
5,毒霧の剣,60,0,160,0,130,0,0,104,0,0,0,0,0,0,0,0,500,45,46
6,銅剣,60,0,160,0,130,0,0,104,0,0,0,0,0,0,0,0,600,47,56
7,桜の剣,80,0,190,0,150,0,0,106,0,0,0,0,0,0,0,0,700,58,59
8,黒石の剣,80,0,190,0,150,0,0,106,0,0,0,0,0,0,0,0,800,58,60
9,光術師の剣,100,0,220,0,170,0,0,108,0,0,0,0,0,0,0,0,900,34,69
10,こん棒,100,0,220,0,170,0,0,108,0,0,0,0,0,0,0,0,1000,53,70
11,ベルリンの剣,120,0,250,0,190,0,0,110,0,0,0,0,0,0,0,0,1100,69,80
12,赤こん棒,120,0,250,0,190,0,0,110,0,0,0,0,0,0,0,0,1200,44,81
13,暗黒騎士の剣,140,0,280,0,210,0,0,112,0,0,0,0,0,0,0,0,1300,68,88
14,幽霊戦士の剣,140,0,280,0,210,0,0,112,0,0,0,0,0,0,0,0,1400,60,90
15,火竜の剣,160,0,310,0,230,0,0,114,0,0,0,0,0,0,0,0,1500,86,77
16,血犬の剣,160,0,310,0,230,0,0,114,0,0,0,0,0,0,0,0,1600,96,95
17,未知なる剣,180,0,340,0,250,0,0,116,0,0,0,0,0,0,0,0,1700,129,130
18,金棒,180,0,340,0,250,0,0,116,0,0,0,0,0,0,0,0,1800,114,126
19,死術師の剣,200,0,370,0,270,0,0,118,0,0,0,0,0,0,0,0,1900,116,122
20,青こん棒,200,0,370,0,270,0,0,118,0,0,0,0,0,0,0,0,2000,114,123
21,魔竜の剣,220,0,400,0,290,0,0,120,0,0,0,0,0,0,0,0,2100,101,104
22,崩壊の剣,220,0,400,0,290,0,0,120,0,0,0,0,0,0,0,0,2200,100,106
