レシピ番号,レシピ解放本番号,製造種類番号,名前,素材種類数,アイテム種類1,アイテム番号1,必要個数1,アイテム種類2,アイテム番号2,必要個数2,アイテム種類3,アイテム番号3,必要個数3,アイテム種類4,アイテム番号4,必要個数4,アイテム種類5,アイテム番号5,必要個数5
1,0,2,木材,1,7,1,2,,,,,,,,,,,,
2,0,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
3,0,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
4,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
5,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
6,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
7,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
8,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
9,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
10,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
11,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
12,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
13,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
14,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
15,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
16,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
17,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
18,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
19,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
20,1,4,目玉焼き,1,9,3,1,,,,,,,,,,,,
21,1,,,,,,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
