レシピ番号,レシピ解放本番号,製造種類番号,名前,素材種類数,アイテム種類1,アイテム番号1,必要個数1,アイテム種類2,アイテム番号2,必要個数2,アイテム種類3,アイテム番号3,必要個数3,アイテム種類4,アイテム番号4,必要個数4,アイテム種類5,アイテム番号5,必要個数5
1,0,6,回復薬,1,8,5,3,,,,,,,,,,,,
2,0,7,上回復薬,2,8,6,1,9,5,1,,,,,,,,,
3,0,9,マジカルドリンク,1,8,5,3,,,,,,,,,,,,
4,1,10,上マジカルドリンク,2,8,6,1,9,5,1,,,,,,,,,
5,1,12,毒回復薬,2,8,6,1,8,11,1,,,,,,,,,
6,1,13,上毒回復薬,2,8,7,1,8,11,1,,,,,,,,,
7,1,15,麻痺回復薬,2,8,6,1,8,14,1,,,,,,,,,
8,1,16,上麻痺回復薬,2,8,7,1,8,14,1,,,,,,,,,
9,1,18,不治回復薬,2,8,6,1,8,17,1,,,,,,,,,
10,1,19,上不治回復薬,2,8,7,1,8,17,1,,,,,,,,,
