レシピ番号,レシピ解放本番号,製造種類番号,名前,素材種類数,アイテム種類1,アイテム番号1,必要個数1,アイテム種類2,アイテム番号2,必要個数2,アイテム種類3,アイテム番号3,必要個数3,アイテム種類4,アイテム番号4,必要個数4,アイテム種類5,アイテム番号5,必要個数5
1,0,1,木の杖,1,7,2,10,,,,,,,,,,,,
2,0,2,石の杖,1,7,4,10,,,,,,,,,,,,
3,0,3,キノコロッド,4,7,16,5,7,17,5,7,18,5,7,19,1,,,
4,0,4,ディグステッキ,2,7,29,5,7,30,5,,,,,,,,,
5,0,5,毒霧の杖,4,7,31,5,7,32,5,7,33,5,7,34,1,,,
6,0,6,クラウドロッド,2,7,44,5,7,45,5,,,,,,,,,
7,0,7,桜の杖,4,7,46,5,7,47,5,7,48,5,7,49,1,,,
8,0,8,黒木の杖,1,7,54,10,,,,,,,,,,,,
9,0,9,光術師の杖,5,7,61,5,7,62,5,7,63,5,7,64,3,7,65,1
10,0,10,夏木の杖,2,7,70,5,7,71,5,,,,,,,,,
11,0,11,ベルリンの杖,5,7,81,5,7,82,5,7,83,5,7,84,3,7,85,1
12,0,12,悪魔の杖,2,7,91,5,7,92,5,,,,,,,,,
13,0,13,暗黒騎士の杖,5,7,101,5,7,102,5,7,103,5,7,104,3,7,105,1
14,0,14,ローズロッド,1,7,120,10,,,,,,,,,,,,
15,0,15,火竜の杖,5,7,121,5,7,122,5,7,123,5,7,124,3,7,125,1
16,0,16,ウィンターロッド,2,7,128,5,7,129,5,,,,,,,,,
17,0,17,未知なる杖,5,7,141,5,7,142,5,7,143,5,7,144,3,7,145,1
18,0,18,屍術死の杖,2,7,154,5,7,156,3,,,,,,,,,
19,0,19,死術師の杖,5,7,163,5,7,164,5,7,165,5,7,166,3,7,167,1
20,0,20,光屍術死の杖,2,7,177,5,7,179,3,,,,,,,,,
21,0,21,魔竜の杖,5,7,183,5,7,184,5,7,185,5,7,186,3,7,187,1
22,0,22,崩壊の杖,5,7,188,5,7,189,5,7,190,5,7,191,3,7,192,1
